,word_labels,sentence
0,"O,O,O,O,O,O,O,O,O,O,O,O,O",;- Make formal and interpersonal interpretation;- Perform other related duties as assigned.
1,"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O","The incumbent should be committed personwith strong knowledge and understanding of brand, UI and DigitalMarketing aspects."
2,"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",The incumbentshould be a quick learner who is committed to permanent professionalgrowth and is able to master new technologies.
3,"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","Knowledge of English is aplus;- Coordination, interpersonal, communication and presentation skills;- Good team player."
4,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","A full time (or part timesee following sentence)Administrative Assistant position available on an ambitious,goal-oriented environmental project."
5,"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O","You should have good communication, organisational and interpersonal skills, be highly organised and have good problem solving skills."
6,"O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","They require a confident, well groomed and articulate individual with a real desire to succeed to work as a member of the sales team."
7,"O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",The successful candidate will have good leadership skills and a proven track record of delivery in a dynamic and reactive development environment.
8,"O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The ideal candidate will have a proactive, driven attitude and the experience and ability to lead a successful team by example."
9,"O,O,O,O,O,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","You should be a selfmotivated, independent, detail oriented, responsible teamplayer and exhibit exceptional relationship management skills."
10,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Our client is physically independent, therefore you be required to support on a mainly social level."
11,"O,O,O,O,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You will be a logical thinker, highly analytical and organised and be able to display a quality focussed attitude and work ethic."
12,"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",You will work to set KPI s; however this is a very autonomous role where you can manage your own workload and success as you want to.
13,"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The salary on offer is very competitive, up to ****K per annum, and temporary live in accomodation is on offer to assist with relocation."
14,"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",They're looking for a trusted team member who can help them grow and partner with them in the long term.
15,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Fox Search Ltd is a specialist Recruitment to Recruitment agency and we advertise this position on behalf or a trusted client.
16,"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We require a committed, dynamic individual, who can deliver BTEC units on the Sport Studies and Public Services programmes from level 1 to level 4."
17,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O","Having previously worked within a busy Contact Centre, you will be self motivated and ambitious."
18,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O","Applications are invited from employees who are energetic, able to communicate at all levels and who are ambitious."
19,"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O","You will be warm, resilient and enthusiastic and have a commitment to your own development."
20,"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The successful applicants will be warm, positive, person centred and committed to ensuring that people with autism enjoy the highest quality of life."
21,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","A nurse is required for this warm, friendly and well furnished home in Oxfordshire."
22,"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We need people who are warm, positive and committed to ensuring that service users enjoy the highest quality of life."
23,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","If you would enjoy working in a supportive, friendly management team which is always learning and developing, we look forward to hearing from you."
24,"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O","We are looking for someone who is organised, discreet, supportive, capable of working under pressure and a team player."
25,"O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","A polite, friendly and polished telephone manner is essential and first class communication skills are key for."
26,"O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O","You must be pro active, determined, and have good planning time management skills."
27,"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Selfguided and determined, you will be comfortable managing and prioritising a high workload as you strive to deliver results for your customers."
28,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You will join a caring, compassionate organisation whose primary aim is to ensure a high standard of life for all service users."
29,"O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O",He needs a warm and compassionate TA to help him until the end of the academic year.
30,"O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O","Strong supplier facing skills; confident, assertive, with excellent communication skills."
31,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The successful candidate must possess the following –  An assertive, structured and positive approach to verbal negotiations and discussions."
