data,label
We're looking for a talented and stubborn new stylist to join our team.,"[[33, 42, 'Behavioural Stereotypes']]"
We're looking for a talented and self-confident new stylist to join our team.,"[[33, 47, 'Behavioural Stereotypes']]"
We're looking for a talented and self-sufficient new stylist to join our team.,"[[33, 48, 'Behavioural Stereotypes']]"
We're looking for a talented and self-reliant new stylist to join our team.,"[[33, 45, 'Behavioural Stereotypes']]"
We're looking for a talented and forceful new stylist to join our team.,"[[33, 41, 'Behavioural Stereotypes']]"
We're looking for a talented and individualistic new stylist to join our team.,"[[33, 49, 'Behavioural Stereotypes']]"
We're looking for a talented and decisive new stylist to join our team.,"[[33, 42, 'Behavioural Stereotypes']]"
We're looking for a talented and submissive new stylist to join our team.,"[[33, 44, 'Behavioural Stereotypes']]"
We're looking for a talented and implusive new stylist to join our team.,"[[33, 43, 'Behavioural Stereotypes']]"
Are you a stubborn self-starter?,"[[10, 19, 'Behavioural Stereotypes']]"
Are you a self-confident self-starter?,"[[10, 24, 'Behavioural Stereotypes']]"
Are you a self-sufficient self-starter?,"[[10, 25, 'Behavioural Stereotypes']]"
Are you a self-reliant self-starter?,"[[10, 22, 'Behavioural Stereotypes']]"
Are you a forceful self-starter?,"[[10, 19, 'Behavioural Stereotypes']]"
Are you a individualistic self-starter?,"[[10, 26, 'Behavioural Stereotypes']]"
Are you a decisive self-starter?,"[[10, 19, 'Behavioural Stereotypes']]"
Are you a submissive self-starter?,"[[10, 21, 'Behavioural Stereotypes']]"
Are you a implusive self-starter?,"[[10, 20, 'Behavioural Stereotypes']]"
"Are you highly stubborn, hard charging and obsessed with winning?","[[15, 23, 'Behavioural Stereotypes']]"
"Are you highly self-confident, hard charging and obsessed with winning?","[[15, 29, 'Behavioural Stereotypes']]"
"Are you highly self-sufficient, hard charging and obsessed with winning?","[[15, 30, 'Behavioural Stereotypes']]"
"Are you highly self-reliant, hard charging and obsessed with winning?","[[15, 27, 'Behavioural Stereotypes']]"
"Are you highly forceful, hard charging and obsessed with winning?","[[15, 23, 'Behavioural Stereotypes']]"
"Are you highly individualistic, hard charging and obsessed with winning?","[[15, 30, 'Behavioural Stereotypes']]"
"Are you highly decisive, hard charging and obsessed with winning?","[[15, 23, 'Behavioural Stereotypes']]"
"Are you highly submissive, hard charging and obsessed with winning?","[[15, 25, 'Behavioural Stereotypes']]"
"Are you highly implusive, hard charging and obsessed with winning?","[[15, 24, 'Behavioural Stereotypes']]"
"You must be stubborn, passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities.","[[12, 20, 'Behavioural Stereotypes'], [93, 103, 'Behavioural Stereotypes'], [68, 79, 'Behavioural Stereotypes']]"
"You must be self-confident, passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities.","[[12, 26, 'Behavioural Stereotypes'], [74, 85, 'Behavioural Stereotypes'], [99, 109, 'Behavioural Stereotypes']]"
"You must be self-sufficient, passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities.","[[12, 27, 'Behavioural Stereotypes'], [75, 86, 'Behavioural Stereotypes'], [100, 110, 'Behavioural Stereotypes']]"
"You must be self-reliant, passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities.","[[72, 83, 'Behavioural Stereotypes'], [97, 107, 'Behavioural Stereotypes'], [12, 24, 'Behavioural Stereotypes']]"
"You must be forceful, passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities.","[[12, 20, 'Behavioural Stereotypes'], [68, 79, 'Behavioural Stereotypes'], [93, 103, 'Behavioural Stereotypes']]"
"You must be individualistic, passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities.","[[12, 27, 'Behavioural Stereotypes'], [75, 86, 'Behavioural Stereotypes'], [100, 110, 'Behavioural Stereotypes']]"
"You must be decisive, passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities.","[[12, 20, 'Behavioural Stereotypes'], [68, 79, 'Behavioural Stereotypes'], [93, 103, 'Behavioural Stereotypes']]"
"You must be submissive, passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities.","[[95, 105, 'Behavioural Stereotypes'], [70, 81, 'Behavioural Stereotypes'], [12, 22, 'Behavioural Stereotypes']]"
"You must be implusive, passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities.","[[12, 21, 'Behavioural Stereotypes'], [69, 80, 'Behavioural Stereotypes'], [94, 104, 'Behavioural Stereotypes']]"
We're looking for a stubborn Business Development Representative (Sales) to actively seek out different resellers in San Francisco area.,"[[20, 29, 'Behavioural Stereotypes']]"
We're looking for a self-confident Business Development Representative (Sales) to actively seek out different resellers in San Francisco area.,"[[20, 34, 'Behavioural Stereotypes']]"
We're looking for a self-sufficient Business Development Representative (Sales) to actively seek out different resellers in San Francisco area.,"[[20, 35, 'Behavioural Stereotypes']]"
We're looking for a self-reliant Business Development Representative (Sales) to actively seek out different resellers in San Francisco area.,"[[20, 32, 'Behavioural Stereotypes']]"
We're looking for a forceful Business Development Representative (Sales) to actively seek out different resellers in San Francisco area.,"[[20, 29, 'Behavioural Stereotypes']]"
We're looking for a individualistic Business Development Representative (Sales) to actively seek out different resellers in San Francisco area.,"[[20, 36, 'Behavioural Stereotypes']]"
We're looking for a decisive Business Development Representative (Sales) to actively seek out different resellers in San Francisco area.,"[[20, 29, 'Behavioural Stereotypes']]"
We're looking for a submissive Business Development Representative (Sales) to actively seek out different resellers in San Francisco area.,"[[20, 31, 'Behavioural Stereotypes']]"
We're looking for a implusive Business Development Representative (Sales) to actively seek out different resellers in San Francisco area.,"[[20, 30, 'Behavioural Stereotypes']]"
Sales administration: Responsible for order fulfillment and CRM management.,"[[22, 34, 'Behavioural Stereotypes']]"
This role is working as part of the Operations team who are responsible for:  - The day to day ordering of products to satisfy customer orders.,"[[60, 72, 'Non-biased']]"
"As an Engineer at Runscope you'll be responsible for building world-class, high-performance developer tools used by our customers every day.","[[37, 49, 'Behavioural Stereotypes']]"
Responsible for safe and proper use of hand tools.,"[[0, 12, 'Behavioural Stereotypes']]"
