data,label,is_biased
always looking for a talented and stubborn new stylist to join our team.,"[[34, 43, 'Behavioural Stereotypes']]",augmented
We're waiting for a talented and stubborn new stylist to join our team.,"[[33, 42, 'Behavioural Stereotypes']]",augmented
still hoping for a talented and stubborn new stylist to join our team.,"[[32, 41, 'Behavioural Stereotypes']]",augmented
always looking for a talented and self-confident hair stylist to join our team.,"[[34, 48, 'Behavioural Stereotypes']]",augmented
still looking for a confident and self-confident fashion stylist to join our team.,"[[34, 48, 'Behavioural Stereotypes']]",augmented
We're hoping for a talented and self-confident staff member to join our team.,"[[32, 46, 'Behavioural Stereotypes']]",augmented
We're looking for a talented and self-sufficient new stylist to join our .,"[[33, 48, 'Behavioural Stereotypes']]",augmented
We're waiting for a skilled and self-sufficient new stylist to lead our team.,"[[32, 47, 'Behavioural Stereotypes']]",augmented
We're looking for a strong and self-sufficient new member to join our team.,"[[31, 46, 'Behavioural Stereotypes']]",augmented
We're looking for a talented and self-reliant hair stylist to join our team.,"[[33, 45, 'Behavioural Stereotypes']]",augmented
We're looking for a talented and self-reliant soccer star to join our team.,"[[33, 45, 'Behavioural Stereotypes']]",augmented
still hoping for a smart and self-reliant new stylist to join our ;,"[[29, 41, 'Behavioural Stereotypes']]",augmented
We're looking for a strong and forceful new talent to join our .,"[[31, 39, 'Behavioural Stereotypes']]",augmented
We're waiting for a talented and forceful new stylist to join our team.,"[[33, 41, 'Behavioural Stereotypes']]",augmented
""" hoping for a talented and forceful female talent to join our team.","[[28, 36, 'Behavioural Stereotypes']]",augmented
We're looking for a smart and individualistic new recruit to join our team.,"[[30, 46, 'Behavioural Stereotypes']]",augmented
still looking for a talented and individualistic fashion stylist to join our team.,"[[33, 49, 'Behavioural Stereotypes']]",augmented
and ask for a smart and individualistic makeup stylist to join our team.,"[[24, 40, 'Behavioural Stereotypes']]",augmented
always looking for a strong and decisive new stylist to lead our team.,"[[32, 41, 'Behavioural Stereotypes']]",augmented
We're waiting for a young and decisive new stylist to lead our team.,"[[30, 39, 'Behavioural Stereotypes']]",augmented
We're looking for a bright and decisive new stylist to manage our team.,"[[31, 40, 'Behavioural Stereotypes']]",augmented
We're looking for a talented and submissive hair stylist to join our team.,"[[33, 44, 'Behavioural Stereotypes']]",augmented
We're waiting for a talented and submissive new stylist to be our ;,"[[33, 44, 'Behavioural Stereotypes']]",augmented
We're looking for a talented and submissive new player to join our team.,"[[33, 44, 'Behavioural Stereotypes']]",augmented
always looking for a young and implusive new stylist to join our team.,"[[31, 41, 'Behavioural Stereotypes']]",augmented
We're waiting for a talented and implusive fashion stylist to lead our team.,"[[33, 43, 'Behavioural Stereotypes']]",augmented
We're hoping for a talented and implusive little kid to join our team.,"[[32, 42, 'Behavioural Stereotypes']]",augmented
Are you a stubborn ?,"[[10, 19, 'Behavioural Stereotypes']]",augmented
were you a stubborn self-starter?,"[[11, 20, 'Behavioural Stereotypes']]",augmented
Are you a stubborn self-starter?,"[[10, 19, 'Behavioural Stereotypes']]",augmented
Are you a self-confident ?,"[[10, 24, 'Behavioural Stereotypes']]",augmented
were you a self-confident self-starter?,"[[11, 25, 'Behavioural Stereotypes']]",augmented
Are you a self-confident !,"[[10, 24, 'Behavioural Stereotypes']]",augmented
are you a self-sufficient self-starter?,"[[10, 25, 'Behavioural Stereotypes']]",augmented
were you a self-sufficient self-starter?,"[[11, 26, 'Behavioural Stereotypes']]",augmented
have you a self-sufficient self-starter?,"[[11, 26, 'Behavioural Stereotypes']]",augmented
are you a self-reliant self-starter?,"[[10, 22, 'Behavioural Stereotypes']]",augmented
Are you a self-reliant .,"[[10, 22, 'Behavioural Stereotypes']]",augmented
Are you a self-reliant !,"[[10, 22, 'Behavioural Stereotypes']]",augmented
are you a forceful self-starter?,"[[10, 19, 'Behavioural Stereotypes']]",augmented
were you a forceful self-starter?,"[[11, 20, 'Behavioural Stereotypes']]",augmented
were you a forceful !,"[[11, 20, 'Behavioural Stereotypes']]",augmented
are you a individualistic ?,"[[10, 26, 'Behavioural Stereotypes']]",augmented
were you a individualistic .,"[[11, 27, 'Behavioural Stereotypes']]",augmented
Are you a individualistic self-starter?,"[[10, 26, 'Behavioural Stereotypes']]",augmented
are you a decisive ?,"[[10, 19, 'Behavioural Stereotypes']]",augmented
call you a decisive .,"[[11, 20, 'Behavioural Stereotypes']]",augmented
Are you a decisive !,"[[10, 19, 'Behavioural Stereotypes']]",augmented
are you a submissive ?,"[[10, 21, 'Behavioural Stereotypes']]",augmented
were you a submissive .,"[[11, 22, 'Behavioural Stereotypes']]",augmented
aren you a submissive self-starter?,"[[11, 22, 'Behavioural Stereotypes']]",augmented
are you a implusive ?,"[[10, 20, 'Behavioural Stereotypes']]",augmented
were you a implusive self-starter?,"[[11, 21, 'Behavioural Stereotypes']]",augmented
aren you a implusive self-starter?,"[[11, 21, 'Behavioural Stereotypes']]",augmented
"are you so stubborn, hard , and obsessed with winning?","[[11, 19, 'Behavioural Stereotypes']]",augmented
Are you highly intelligent ? arrogant and obsessed with winning?,[],augmented
were you a - a charging and obsessed with !,[],augmented
are you so damn hard charging and obsessed with winning?,[],augmented
"were you highly self-confident, emotionally charging and obsessed with winning?","[[16, 30, 'Behavioural Stereotypes']]",augmented
"make you more self-confident, harder charging and obsessed with winning?","[[14, 28, 'Behavioural Stereotypes']]",augmented
"are you highly , hard , and obsessed with winning?",[],augmented
Are you just ... battery sick and obsessed with .,[],augmented
Are you highly trained hard runners and charged with !,[],augmented
"are you highly self-reliant, hard charging and obsessed with winning?","[[15, 27, 'Behavioural Stereotypes']]",augmented
"were you just self-reliant, battery ##ive and obsessed with winning?","[[14, 26, 'Behavioural Stereotypes']]",augmented
who you generally regarded hard charging and obsessed with ;,[],augmented
are you so damn hard charging and obsessed with winning?,[],augmented
Are you that damn hard working and obsessed with winning?,[],augmented
Are you too damned hard ... and concerned with winning?,[],augmented
"are you highly , hard , and obsessed with ?",[],augmented
Are you just too much charging and obsession with winning?,[],augmented
"Are you highly individualistic, arrogant ... and obsession with !","[[15, 30, 'Behavioural Stereotypes']]",augmented
"Are you so decisive, so charging and obsessed with winning?","[[11, 19, 'Behavioural Stereotypes']]",augmented
"were you highly decisive, hard working and obsessed with winning?","[[16, 24, 'Behavioural Stereotypes']]",augmented
Are you generally regarded hard charging and tasked with winning?,[],augmented
"are you highly , highly charging and obsessed with winning?",[],augmented
"were you all submissive, hard ##working and obsessed with winning?","[[13, 23, 'Behavioural Stereotypes']]",augmented
"aren you highly submissive, constantly fighting and struggling with winning?","[[16, 26, 'Behavioural Stereotypes']]",augmented
"Are you so implusive, so charging and obsessed with winning?","[[11, 20, 'Behavioural Stereotypes']]",augmented
were you highly into battery charging and obsession with winning?,[],augmented
have you highly regarded hard charging and obsessed with winning?,[],augmented
